job_id,asset_id,section_id,job_type,asset_condition,crew_id,crew_size,weather_condition,historical_duration,duration_min
JOB-0001,AST-01-01,SEC-NDLS-RE,INSPECTION,94,CRW-01,6,LIGHT_RAIN,61,42
JOB-0002,AST-02-02,SEC-RE-AWR,PREVENTIVE,73,CRW-02,4,CLOUDY,143,124
JOB-0003,AST-03-03,SEC-AWR-BKI,CORRECTIVE,49,CRW-03,5,CLEAR,237,210
JOB-0004,AST-04-04,SEC-BKI-JP,EMERGENCY,94,CRW-04,3,LIGHT_RAIN,305,274
JOB-0005,AST-01-05,SEC-NDLS-RE,INSPECTION,49,CRW-01,6,CLEAR,99,80
JOB-0006,AST-02-06,SEC-RE-AWR,PREVENTIVE,94,CRW-02,4,CLEAR,102,95
JOB-0007,AST-04-01,SEC-BKI-JP,CORRECTIVE,62,CRW-01,6,CLOUDY,223,188
JOB-0008,AST-01-02,SEC-NDLS-RE,EMERGENCY,84,CRW-02,4,CLOUDY,300,270
JOB-0009,AST-02-03,SEC-RE-AWR,INSPECTION,62,CRW-03,5,LIGHT_RAIN,106,84
JOB-0010,AST-03-04,SEC-AWR-BKI,PREVENTIVE,34,CRW-04,3,LIGHT_RAIN,207,194
JOB-0011,AST-04-05,SEC-BKI-JP,CORRECTIVE,84,CRW-03,5,CLEAR,196,170
JOB-0012,AST-01-06,SEC-NDLS-RE,EMERGENCY,34,CRW-04,3,LIGHT_RAIN,392,354
JOB-0013,AST-03-01,SEC-AWR-BKI,INSPECTION,73,CRW-01,6,CLEAR,66,49
JOB-0014,AST-04-02,SEC-BKI-JP,PREVENTIVE,49,CRW-02,4,CLOUDY,174,141
JOB-0015,AST-01-03,SEC-NDLS-RE,CORRECTIVE,73,CRW-03,5,CLEAR,215,194
JOB-0016,AST-02-04,SEC-RE-AWR,EMERGENCY,49,CRW-04,3,CLOUDY,355,317
JOB-0017,AST-03-05,SEC-AWR-BKI,INSPECTION,94,CRW-01,6,CLEAR,46,28
JOB-0018,AST-04-06,SEC-BKI-JP,PREVENTIVE,73,CRW-02,4,CLOUDY,123,102
JOB-0019,AST-02-01,SEC-RE-AWR,CORRECTIVE,84,CRW-01,6,LIGHT_RAIN,218,184
JOB-0020,AST-03-02,SEC-AWR-BKI,EMERGENCY,62,CRW-02,4,CLEAR,320,283
JOB-0021,AST-04-03,SEC-BKI-JP,INSPECTION,34,CRW-03,5,CLEAR,126,106
JOB-0022,AST-01-04,SEC-NDLS-RE,PREVENTIVE,62,CRW-04,3,CLEAR,135,121
JOB-0023,AST-02-05,SEC-RE-AWR,CORRECTIVE,34,CRW-03,5,CLEAR,254,238
JOB-0024,AST-03-06,SEC-AWR-BKI,EMERGENCY,84,CRW-04,3,HEAVY_RAIN,346,318
JOB-0025,AST-01-01,SEC-NDLS-RE,INSPECTION,94,CRW-01,6,FOG,72,58
JOB-0026,AST-02-02,SEC-RE-AWR,PREVENTIVE,73,CRW-02,4,CLEAR,142,132
JOB-0027,AST-03-03,SEC-AWR-BKI,CORRECTIVE,49,CRW-03,5,CLOUDY,256,232
JOB-0028,AST-04-04,SEC-BKI-JP,EMERGENCY,94,CRW-04,3,CLEAR,280,245
JOB-0029,AST-01-05,SEC-NDLS-RE,INSPECTION,49,CRW-01,6,CLEAR,100,74
JOB-0030,AST-02-06,SEC-RE-AWR,PREVENTIVE,94,CRW-02,4,CLOUDY,120,103
JOB-0031,AST-04-01,SEC-BKI-JP,CORRECTIVE,62,CRW-01,6,LIGHT_RAIN,224,194
JOB-0032,AST-01-02,SEC-NDLS-RE,EMERGENCY,84,CRW-02,4,CLEAR,309,264
JOB-0033,AST-02-03,SEC-RE-AWR,INSPECTION,62,CRW-03,5,FOG,114,106
JOB-0034,AST-03-04,SEC-AWR-BKI,PREVENTIVE,34,CRW-04,3,FOG,222,203
JOB-0035,AST-04-05,SEC-BKI-JP,CORRECTIVE,84,CRW-03,5,CLEAR,193,170
JOB-0036,AST-01-06,SEC-NDLS-RE,EMERGENCY,34,CRW-04,3,LIGHT_RAIN,392,351
