timestamp,maintenance_id,plan_id,section_id,predicted_duration_min,simulated_actual_duration_min,duration_error_min,absolute_duration_error_min,predicted_total_delay_min,simulated_actual_total_delay_min,delay_error_min,absolute_delay_error_min
2026-09-08T20:20:02.002182+05:30,M003,P003,SEC-NDLS-RE,78.0,81.0,3.0,3.0,174.0,205.0,31.0,31.0
2026-09-08T22:00:27.037996+05:30,M004,P006,SEC-NDLS-RE,78.0,76.0,-2.0,2.0,147.0,172.0,25.0,25.0
2026-09-08T22:45:35.502724+05:30,M005,P011,SEC-NDLS-RE,78.0,74.0,-4.0,4.0,147.0,172.0,25.0,25.0
2026-09-09T10:34:14.791659+05:30,M008,P021,SEC-NDLS-RE,86.0,86.0,0.0,0.0,201.0,275.0,74.0,74.0
2026-09-09T10:57:10.034601+05:30,M009,P026,SEC-AWR-BKI,88.0,88.0,0.0,0.0,101.0,112.0,11.0,11.0
2026-09-10T03:09:09.723300+05:30,M010,P031,SEC-NDLS-RE,60.0,57.0,-3.0,3.0,93.0,98.0,5.0,5.0
2026-09-10T03:11:39.536717+05:30,M011,P036,SEC-NDLS-RE,60.0,56.0,-4.0,4.0,93.0,98.0,5.0,5.0
2026-09-10T10:57:39.542607+05:30,M012,P041,SEC-NDLS-RE,83.0,83.0,0.0,0.0,162.0,209.0,47.0,47.0
2026-09-10T11:09:36.154239+05:30,M013,P046,SEC-NDLS-RE,83.0,87.0,4.0,4.0,162.0,219.0,57.0,57.0
2026-09-10T12:11:09.049702+05:30,M014,P053,SEC-AWR-BKI,88.0,93.0,5.0,5.0,156.0,182.0,26.0,26.0
2026-09-10T12:19:56.070890+05:30,M016,P061,SEC-NDLS-RE,86.0,82.0,-4.0,4.0,174.0,228.0,54.0,54.0
2026-09-10T12:23:34.520520+05:30,M017,P066,SEC-NDLS-RE,84.0,82.0,-2.0,2.0,0.0,0.0,0.0,0.0
2026-09-10T15:20:53.802888+05:30,M018,P071,SEC-AWR-BKI,88.0,92.0,4.0,4.0,111.0,122.0,11.0,11.0
2026-09-10T15:33:55.533069+05:30,M020,P081,SEC-AWR-BKI,88.0,87.0,-1.0,1.0,111.0,122.0,11.0,11.0
2026-09-10T15:55:09.531583+05:30,M021,P086,SEC-RE-AWR,81.0,78.0,-3.0,3.0,137.0,152.0,15.0,15.0
2026-09-10T16:25:21.010407+05:30,M022,P091,SEC-RE-AWR,81.0,86.0,5.0,5.0,137.0,162.0,25.0,25.0
2026-09-10T17:33:34.322796+05:30,M023,P096,SEC-AWR-BKI,83.0,79.0,-4.0,4.0,74.0,118.0,44.0,44.0
2026-09-11T09:22:14.437502+05:30,M024,P101,SEC-NDLS-RE,88.0,85.0,-3.0,3.0,182.0,562.0,380.0,380.0
2026-09-11T09:25:35.002812+05:30,M024,P102,SEC-NDLS-RE,88.0,93.0,5.0,5.0,242.0,695.0,453.0,453.0
2026-09-11T12:03:07.893725+05:30,M025,P106,SEC-NDLS-RE,84.0,89.0,5.0,5.0,0.0,0.0,0.0,0.0
2026-09-11T13:55:49.140497+05:30,M026,P111,SEC-NDLS-RE,81.0,86.0,5.0,5.0,0.0,0.0,0.0,0.0
2026-09-11T14:14:13.714841+05:30,M027,P116,SEC-NDLS-RE,83.0,85.0,2.0,2.0,81.0,81.0,0.0,0.0
2026-09-11T14:39:16.833960+05:30,M029,P121,SEC-RE-AWR,81.0,86.0,5.0,5.0,73.0,73.0,0.0,0.0
2026-09-11T14:47:33.196205+05:30,M030,P126,SEC-NDLS-RE,88.0,85.0,-3.0,3.0,182.0,562.0,380.0,380.0
2026-09-11T16:54:05.255456+05:30,M031,P131,SEC-NDLS-RE,84.0,89.0,5.0,5.0,0.0,0.0,0.0,0.0
2026-09-11T18:21:22.764859+05:30,M032,P136,SEC-NDLS-RE,83.0,87.0,4.0,4.0,81.0,81.0,0.0,0.0
2026-09-11T18:21:30.597243+05:30,M032,P136,SEC-NDLS-RE,83.0,87.0,4.0,4.0,81.0,81.0,0.0,0.0
