train_id,train_name,train_type,section_id,scheduled_entry_time,scheduled_exit_time,priority,running_days
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-NDLS-RE,04:30:00,05:22:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-RE-AWR,05:28:00,06:18:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-AWR-BKI,06:24:00,07:09:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-BKI-JP,07:15:00,08:10:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-NDLS-RE,04:57:00,05:49:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-RE-AWR,05:55:00,06:45:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-AWR-BKI,06:51:00,07:36:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-BKI-JP,07:42:00,08:37:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-NDLS-RE,05:24:00,06:16:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-RE-AWR,06:22:00,07:12:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-AWR-BKI,07:18:00,08:03:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-BKI-JP,08:09:00,09:04:00,HIGH,MONDAY|WEDNESDAY|FRIDAY|SUNDAY
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-NDLS-RE,05:51:00,06:43:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-RE-AWR,06:49:00,07:39:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-AWR-BKI,07:45:00,08:30:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12004,Synthetic Corridor Express 04,EXPRESS,SEC-BKI-JP,08:36:00,09:31:00,HIGH,TUESDAY|THURSDAY|SATURDAY
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-NDLS-RE,06:18:00,07:10:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-RE-AWR,07:16:00,08:06:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-AWR-BKI,08:12:00,08:57:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-BKI-JP,09:03:00,09:58:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY|SATURDAY|SUNDAY
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-NDLS-RE,06:45:00,07:37:00,HIGH,MONDAY|TUESDAY|WEDNESDAY|THURSDAY|FRIDAY
