train_id,train_name,train_type,section_id,date,scheduled_entry_time,scheduled_exit_time,actual_entry_time,actual_exit_time,delay_min,priority
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-NDLS-RE,2025-01-01,04:30:00,05:22:00,04:41:00,05:34:00,12,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-RE-AWR,2025-01-01,05:28:00,06:18:00,05:40:00,06:32:00,14,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-AWR-BKI,2025-01-01,06:24:00,07:09:00,06:40:00,07:25:00,16,HIGH
TRN-12001,Synthetic Corridor Express 01,EXPRESS,SEC-BKI-JP,2025-01-01,07:15:00,08:10:00,07:31:00,08:30:00,20,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-NDLS-RE,2025-01-01,04:57:00,05:49:00,05:05:00,06:00:00,11,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-RE-AWR,2025-01-01,05:55:00,06:45:00,06:07:00,07:01:00,16,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-AWR-BKI,2025-01-01,06:51:00,07:36:00,07:08:00,07:56:00,20,HIGH
TRN-12002,Synthetic Corridor Express 02,EXPRESS,SEC-BKI-JP,2025-01-01,07:42:00,08:37:00,08:02:00,09:02:00,25,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-NDLS-RE,2025-01-01,05:24:00,06:16:00,05:34:00,06:27:00,11,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-RE-AWR,2025-01-01,06:22:00,07:12:00,06:34:00,07:27:00,15,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-AWR-BKI,2025-01-01,07:18:00,08:03:00,07:33:00,08:20:00,17,HIGH
TRN-12003,Synthetic Corridor Express 03,EXPRESS,SEC-BKI-JP,2025-01-01,08:09:00,09:04:00,08:27:00,09:25:00,21,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-NDLS-RE,2025-01-01,06:18:00,07:10:00,06:33:00,07:27:00,17,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-RE-AWR,2025-01-01,07:16:00,08:06:00,07:33:00,08:24:00,18,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-AWR-BKI,2025-01-01,08:12:00,08:57:00,08:31:00,09:17:00,20,HIGH
TRN-12005,Synthetic Corridor Express 05,EXPRESS,SEC-BKI-JP,2025-01-01,09:03:00,09:58:00,09:24:00,10:22:00,24,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-NDLS-RE,2025-01-01,06:45:00,07:37:00,06:56:00,07:50:00,13,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-RE-AWR,2025-01-01,07:43:00,08:33:00,07:56:00,08:51:00,18,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-AWR-BKI,2025-01-01,08:39:00,09:24:00,08:58:00,09:44:00,20,HIGH
TRN-12006,Synthetic Corridor Express 06,EXPRESS,SEC-BKI-JP,2025-01-01,09:30:00,10:25:00,09:51:00,10:47:00,22,HIGH
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-NDLS-RE,2025-01-01,07:12:00,08:04:00,07:27:00,08:20:00,16,HIGH
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-RE-AWR,2025-01-01,08:10:00,09:00:00,08:28:00,09:19:00,19,HIGH
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-AWR-BKI,2025-01-01,09:06:00,09:51:00,09:29:00,10:14:00,23,HIGH
TRN-12007,Synthetic Corridor Express 07,EXPRESS,SEC-BKI-JP,2025-01-01,09:57:00,10:52:00,10:22:00,11:23:00,31,HIGH
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-NDLS-RE,2025-01-01,08:06:00,08:58:00,08:20:00,09:14:00,16,HIGH
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-RE-AWR,2025-01-01,09:04:00,09:54:00,09:23:00,10:14:00,20,HIGH
TRN-12009,Synthetic Corridor Express 09,EXPRESS,SEC-AWR-BKI,2025-01-01,10:00:00,10:45:00,10:20:00,11:09:00,24,HIGH
