date,temperature_c,weather_condition,rainfall_mm,visibility_km,wind_speed_kmh
2025-01-01,13.2,FOG,0.0,2.2,10.8
2025-01-02,12.6,CLEAR,0.0,26.4,5.7
2025-01-03,14.0,CLEAR,0.0,20.6,10.1
2025-01-04,19.5,LIGHT_RAIN,4.5,5.1,14.5
2025-01-05,19.0,CLEAR,0.0,24.5,6.3
2025-01-06,20.1,CLEAR,0.0,28.4,5.3
2025-01-07,18.4,CLEAR,0.0,15.7,8.7
2025-01-08,22.9,HEAVY_RAIN,44.0,2.0,9.7
2025-01-09,20.3,CLOUDY,0.1,11.3,9.7
2025-01-10,19.4,LIGHT_RAIN,7.7,7.5,15.2
2025-01-11,18.2,FOG,0.0,1.2,7.9
2025-01-12,18.4,HEAVY_RAIN,21.0,1.0,14.2
2025-01-13,14.0,LIGHT_RAIN,7.2,6.3,10.4
2025-01-14,22.1,CLEAR,0.0,25.0,10.9
2025-01-15,17.3,CLOUDY,0.5,11.9,15.8
2025-01-16,17.5,CLEAR,0.0,21.6,10.4
2025-01-17,15.1,CLOUDY,0.2,8.4,15.0
2025-01-18,20.6,CLEAR,0.0,23.4,7.6
2025-01-19,18.0,LIGHT_RAIN,7.5,4.8,11.5
2025-01-20,15.8,CLEAR,0.0,21.9,5.1
2025-01-21,20.5,CLOUDY,0.6,11.1,12.6
2025-01-22,19.1,CLEAR,0.0,20.4,1.2
2025-01-23,16.8,CLEAR,0.0,28.6,3.4
2025-01-24,23.2,CLEAR,0.0,26.7,10.0
2025-01-25,19.3,CLOUDY,0.1,14.3,16.4
2025-01-26,21.2,CLEAR,0.0,23.7,4.6
2025-01-27,20.4,FOG,0.0,1.9,7.9
2025-01-28,24.6,LIGHT_RAIN,6.2,4.4,13.7
2025-01-29,24.1,CLEAR,0.0,19.9,8.4
2025-01-30,17.4,CLEAR,0.0,17.6,3.3
2025-01-31,17.1,CLOUDY,0.5,8.2,7.1
2025-02-01,21.8,CLOUDY,0.1,11.4,24.7
2025-02-02,18.4,FOG,0.0,1.3,8.1
2025-02-03,20.2,CLEAR,0.0,21.6,6.4
2025-02-04,21.9,FOG,0.0,0.6,2.9
2025-02-05,20.3,CLEAR,0.0,19.2,8.1
2025-02-06,22.1,CLOUDY,0.1,14.4,8.3
2025-02-07,20.0,CLEAR,0.0,20.6,3.7
2025-02-08,19.6,LIGHT_RAIN,8.6,5.5,12.4
2025-02-09,20.5,CLEAR,0.0,17.5,5.2
2025-02-10,18.9,CLEAR,0.0,28.4,13.3
2025-02-11,22.2,LIGHT_RAIN,5.2,5.6,13.9
2025-02-12,25.7,CLOUDY,0.1,13.2,13.7
2025-02-13,19.2,HEAVY_RAIN,18.7,3.5,12.3
2025-02-14,27.0,CLEAR,0.0,28.1,12.6
2025-02-15,24.9,CLEAR,0.0,29.6,7.0
2025-02-16,24.3,CLEAR,0.0,18.4,7.4
2025-02-17,18.0,CLOUDY,0.4,12.9,8.1
2025-02-18,22.8,CLEAR,0.0,25.7,1.7
2025-02-19,22.5,CLEAR,0.0,19.5,11.0
2025-02-20,27.6,CLOUDY,0.2,14.5,12.1
2025-02-21,24.6,CLEAR,0.0,16.6,7.4
2025-02-22,31.1,CLEAR,0.0,23.9,3.6
2025-02-23,20.5,LIGHT_RAIN,7.3,4.1,17.8
2025-02-24,22.9,LIGHT_RAIN,2.9,6.7,8.8
2025-02-25,30.8,LIGHT_RAIN,4.3,5.9,17.5
2025-02-26,20.2,CLOUDY,0.4,9.7,7.9
2025-02-27,30.1,CLOUDY,0.1,8.5,11.5
2025-02-28,29.9,CLEAR,0.0,19.7,6.0
2025-03-01,26.6,LIGHT_RAIN,3.3,4.8,7.5
2025-03-02,24.9,CLEAR,0.0,17.6,4.8
2025-03-03,28.5,CLOUDY,0.3,10.2,13.2
2025-03-04,24.0,LIGHT_RAIN,1.3,4.9,24.3
2025-03-05,30.3,CLEAR,0.0,21.2,3.9
2025-03-06,26.9,CLEAR,0.0,16.5,11.8
2025-03-07,27.7,CLEAR,0.0,16.5,10.7
2025-03-08,23.6,LIGHT_RAIN,7.4,7.9,13.2
2025-03-09,26.4,CLOUDY,0.4,11.6,18.9
2025-03-10,26.2,CLEAR,0.0,24.6,8.2
2025-03-11,22.3,CLEAR,0.0,21.3,13.9
2025-03-12,29.5,CLEAR,0.0,19.9,6.8
2025-03-13,26.5,CLOUDY,0.8,14.4,19.9
2025-03-14,28.7,CLEAR,0.0,27.7,8.8
2025-03-15,26.9,LIGHT_RAIN,6.1,5.4,17.0
2025-03-16,30.0,CLEAR,0.0,27.9,7.3
2025-03-17,30.0,CLOUDY,0.6,8.6,6.7
2025-03-18,25.0,CLEAR,0.0,27.0,13.0
2025-03-19,26.4,CLOUDY,0.8,9.8,8.1
2025-03-20,29.3,CLEAR,0.0,23.5,9.4
2025-03-21,29.5,CLEAR,0.0,26.5,8.7
2025-03-22,23.2,CLEAR,0.0,29.0,9.4
2025-03-23,32.9,CLEAR,0.0,24.9,10.4
2025-03-24,31.3,CLOUDY,0.3,14.3,13.9
2025-03-25,26.9,CLEAR,0.0,19.7,6.4
2025-03-26,32.1,CLEAR,0.0,21.6,6.5
2025-03-27,27.6,CLOUDY,0.7,13.5,16.4
2025-03-28,33.3,CLEAR,0.0,25.8,10.4
2025-03-29,36.2,CLEAR,0.0,24.6,0.0
2025-03-30,28.8,CLOUDY,0.0,11.2,6.6
2025-03-31,25.9,CLEAR,0.0,21.6,8.8
